"","Name","Party","Rank","VoteCount","VoteShare","Title"
"654","Jesse Aguilar","Democratic Party","5 of 5","199","3.0%","Election Results for 1991 Primary Election, Alderman, Ward 25, Chicago, IL (Non-Partisan Aldermanic Election)"
"655","Luis V. Gutierrez","Democratic Party","1 of 4","5,366","71.7%","Election Results for 1991 Primary Election, Alderman, Ward 26, Chicago, IL (Non-Partisan Aldermanic Election)"
"656","Juan M. Otero","Other Parties","2 of 4","1,090","14.6%","Election Results for 1991 Primary Election, Alderman, Ward 26, Chicago, IL (Non-Partisan Aldermanic Election)"
"657","Herbert B. Colon","Other Parties","3 of 4","636","8.5%","Election Results for 1991 Primary Election, Alderman, Ward 26, Chicago, IL (Non-Partisan Aldermanic Election)"
"658","Daniel H. Nagel","Other Parties","4 of 4","394","5.3%","Election Results for 1991 Primary Election, Alderman, Ward 26, Chicago, IL (Non-Partisan Aldermanic Election)"
"659","Rickey R. Hendon","Democratic Party","1 of 12","2,712","38.8%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"660","Sheneather Y. Butler","Democratic Party","2 of 12","1,525","21.8%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"661","Wallace Davis, Iii","Other Parties","3 of 12","833","11.9%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"662","Brigitte R. Gage","Other Parties","4 of 12","709","10.1%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"663","Margaret L. Morris","Other Parties","5 of 12","389","5.6%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"664","Earnest L. Thomas","Other Parties","6 of 12","217","3.1%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"665","John R. Parker","Democratic Party","7 of 12","172","2.5%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"666","Frank Duckins","Other Parties","8 of 12","135","1.9%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"667","Herman Mollison, J","Other Parties","9 of 12","132","1.9%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"668","Sylvia Y. Welch","Democratic Party","10 of 12","101","1.4%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"669","Deefondy James","Democratic Party","11 of 12","34","0.5%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"670","Willie May","Other Parties","12 of 12","29","0.4%","Election Results for 1991 Primary Election, Alderman, Ward 27, Chicago, IL (Non-Partisan Aldermanic Election)"
"671","Ed H. Smith","Democratic Party","1 of 3","5,481","74.2%","Election Results for 1991 Primary Election, Alderman, Ward 28, Chicago, IL (Non-Partisan Aldermanic Election)"
"672","J. Nathan Toney","Other Parties","2 of 3","1,090","14.7%","Election Results for 1991 Primary Election, Alderman, Ward 28, Chicago, IL (Non-Partisan Aldermanic Election)"
"673","Wynell Parker","Democratic Party","3 of 3","819","11.1%","Election Results for 1991 Primary Election, Alderman, Ward 28, Chicago, IL (Non-Partisan Aldermanic Election)"
"674","Iola Mcgowan","Other Parties","1 of 15","2,796","29.2%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"675","Sam Burrell","Other Parties","2 of 15","2,136","22.3%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"676","James Deanes","Other Parties","3 of 15","1,496","15.6%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"677","John W. Robertson","Other Parties","4 of 15","855","8.9%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"678","Clarence E. Thomas","Other Parties","5 of 15","676","7.1%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"679","Jesse L. Butler","Democratic Party","6 of 15","536","5.6%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"680","Margaret M. Parker","Democratic Party","7 of 15","252","2.6%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"681","John Gregory","Other Parties","8 of 15","169","1.8%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"682","Donald Campbell","Other Parties","9 of 15","143","1.5%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"683","Manuel Washington","Other Parties","10 of 15","130","1.4%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"684","Amanda Toney","Other Parties","11 of 15","128","1.3%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"685","Lynn Tucker","Other Parties","12 of 15","106","1.1%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"686","Larry Howard","Other Parties","13 of 15","77","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"687","John Arrion Brackett","Other Parties","14 of 15","38","0.4%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"688","Ray Patterson","Other Parties","14 of 15","38","0.4%","Election Results for 1991 Primary Election, Alderman, Ward 29, Chicago, IL (Non-Partisan Aldermanic Election)"
"689","Dorothy J. Tillman","Democratic Party","1 of 9","3,426","50.6%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"690","Tyrone T. Kenner","Democratic Party","2 of 9","1,833","27.1%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"691","Wallace Bradley","Other Parties","3 of 9","375","5.5%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"692","Leonard T. Barr","Other Parties","4 of 9","369","5.5%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"693","Samuel Smith Wiiams","Other Parties","5 of 9","203","3.0%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"694","Ronald Sistrunk","Other Parties","6 of 9","174","2.6%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"695","James E. Williams","Other Parties","7 of 9","155","2.3%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"696","Reginald Daniels","Democratic Party","8 of 9","116","1.7%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"697","Henry Tellis, Jr.","Other Parties","9 of 9","114","1.7%","Election Results for 1991 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"698","Carole Bialczak","Other Parties","1 of 7","8,049","62.3%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"699","George Hagopian, Jr.","Other Parties","2 of 7","2,820","21.8%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"700","John Whitehead, Jr.","Other Parties","3 of 7","734","5.7%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"701","Burt Sillins","Democratic Party","4 of 7","507","3.9%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"702","Jose Alvarez","Other Parties","5 of 7","430","3.3%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"703","Pedro L. Soto","Other Parties","6 of 7","232","1.8%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"704","Conscencion J. Moreno","Other Parties","7 of 7","146","1.1%","Election Results for 1991 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"705","Regner Suarez","Other Parties","1 of 4","3,746","46.0%","Election Results for 1991 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"706","Gloria Chevere","Democratic Party","2 of 4","2,247","27.6%","Election Results for 1991 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"707","Ricardo Negron","Other Parties","3 of 4","1,848","22.7%","Election Results for 1991 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"708","Evelyn Ogiela De Alvare","Other Parties","4 of 4","306","3.8%","Election Results for 1991 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"709","Theris M. Gabinski","Democratic Party","1 of 2","7,814","79.1%","Election Results for 1991 Primary Election, Alderman, Ward 32, Chicago, IL (Non-Partisan Aldermanic Election)"
"710","James E. Gruber","Other Parties","2 of 2","2,069","20.9%","Election Results for 1991 Primary Election, Alderman, Ward 32, Chicago, IL (Non-Partisan Aldermanic Election)"
"711","Richard F. Mell","Democratic Party","1 of 2","9,777","82.3%","Election Results for 1991 Primary Election, Alderman, Ward 33, Chicago, IL (Non-Partisan Aldermanic Election)"
"712","Marcelino Gerena, Jr.","Other Parties","2 of 2","2,107","17.7%","Election Results for 1991 Primary Election, Alderman, Ward 33, Chicago, IL (Non-Partisan Aldermanic Election)"
"713","Lemuel Austin, Jr.","Democratic Party","1 of 2","6,328","51.0%","Election Results for 1991 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"714","Ernie Terrell","Other Parties","2 of 2","6,088","49.0%","Election Results for 1991 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"715","Michael A. Wojcik","Democratic Party","1 of 7","4,627","35.6%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"716","Chester R. Hornowski","Republican Party","2 of 7","2,827","21.7%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"717","John C. Johnson","Other Parties","3 of 7","2,578","19.8%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"718","Elmer C. W. Haneberg, Iii","Other Parties","4 of 7","1,433","11.0%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"719","James C. Cwick","Other Parties","5 of 7","585","4.5%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"720","Joseph A. Jurek","Democratic Party","6 of 7","491","3.8%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"721","Rodolfo P. Clai","Other Parties","7 of 7","465","3.6%","Election Results for 1991 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"722","William J. P. Banks","Other Parties","1 of 2","13,540","71.2%","Election Results for 1991 Primary Election, Alderman, Ward 36, Chicago, IL (Non-Partisan Aldermanic Election)"
"723","Michael J. Romanelli","Other Parties","2 of 2","5,473","28.8%","Election Results for 1991 Primary Election, Alderman, Ward 36, Chicago, IL (Non-Partisan Aldermanic Election)"
"724","Percy Z. Giles","Democratic Party","1 of 8","3,826","45.9%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"725","John Baggett","Other Parties","2 of 8","1,308","15.7%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"726","Askia K. Abdullah","Other Parties","3 of 8","1,244","14.9%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"727","Antonio Tony Daggett, Sr.","Other Parties","4 of 8","920","11.0%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"728","Johnny Johnson","Other Parties","5 of 8","585","7.0%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"729","William J. Hightower, Iii","Other Parties","6 of 8","260","3.1%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"730","Ronald Riley","Other Parties","7 of 8","117","1.4%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"731","Nacolis Gray","Other Parties","8 of 8","70","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"732","Thomas W. Cullerton","Democratic Party","1 of 3","9,470","48.1%","Election Results for 1991 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"733","Martin J. Serwinski","Other Parties","2 of 3","5,785","29.4%","Election Results for 1991 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"734","Thomas Bucaro","Other Parties","3 of 3","4,436","22.5%","Election Results for 1991 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"735","Anthony C. Laurino","Democratic Party","1 of 5","7,897","57.2%","Election Results for 1991 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"736","Demetri Konstantelos","Other Parties","2 of 5","2,305","16.7%","Election Results for 1991 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"737","Anthony J. Barango","Other Parties","3 of 5","1,533","11.1%","Election Results for 1991 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"738","Richard Fattore","Democratic Party","4 of 5","1,392","10.1%","Election Results for 1991 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"739","Robert K. O'halloran","Other Parties","5 of 5","684","5.0%","Election Results for 1991 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"740","Timothy C. Evans","Washington Party","1 of 6","4,486","44.3%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"741","Toni Preckwinkle","Democratic Party","2 of 6","3,082","30.4%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"742","Robert L. Lucas","Other Parties","3 of 6","1,114","11.0%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"743","William Powell","Other Parties","4 of 6","1,068","10.5%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"744","Eva Jean Jackson","Other Parties","5 of 6","201","2.0%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"745","James Fitzhugh","Other Parties","6 of 6","175","1.7%","Election Results for 1991 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"746","Patrick J. O'connor","Democratic Party","1 of 3","7,445","69.8%","Election Results for 1991 Primary Election, Alderman, Ward 40, Chicago, IL (Non-Partisan Aldermanic Election)"
"747","Alice E. Buzanis","Other Parties","2 of 3","2,774","26.0%","Election Results for 1991 Primary Election, Alderman, Ward 40, Chicago, IL (Non-Partisan Aldermanic Election)"
"748","Robert G. Mccurdy","Other Parties","3 of 3","442","4.1%","Election Results for 1991 Primary Election, Alderman, Ward 40, Chicago, IL (Non-Partisan Aldermanic Election)"
"749","Roman C. Pucinski","Democratic Party","1 of 8","9,181","41.7%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"750","Brian G. Doherty","Other Parties","2 of 8","6,758","30.7%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"751","Salvatore G. Terranova","Republican Party","3 of 8","2,628","11.9%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"752","Mary Lou Zurawski","Other Parties","4 of 8","1,031","4.7%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"753","Joseph A. Cosentino","Other Parties","5 of 8","1,020","4.6%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"754","Richard A. Wasowski","Other Parties","6 of 8","649","2.9%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"755","Joann Keto","Other Parties","7 of 8","590","2.7%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"756","Frank Pisterzi","Other Parties","8 of 8","177","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"757","Burton F. Natarus","Democratic Party","1 of 3","6,793","61.5%","Election Results for 1991 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"758","George L. Tamvakis","Other Parties","2 of 3","3,018","27.3%","Election Results for 1991 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"759","James A. Wright","Other Parties","3 of 3","1,241","11.2%","Election Results for 1991 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"760","Edwin W. Eisendrath","Democratic Party","1 of 2","8,537","58.0%","Election Results for 1991 Primary Election, Alderman, Ward 43, Chicago, IL (Non-Partisan Aldermanic Election)"
"761","Mary E. Baim","Other Parties","2 of 2","6,182","42.0%","Election Results for 1991 Primary Election, Alderman, Ward 43, Chicago, IL (Non-Partisan Aldermanic Election)"
"762","Bernard J. Hansen","Democratic Party","1 of 2","8,080","65.0%","Election Results for 1991 Primary Election, Alderman, Ward 44, Chicago, IL (Non-Partisan Aldermanic Election)"
"763","Ron Sable","Democratic Party","2 of 2","4,359","35.0%","Election Results for 1991 Primary Election, Alderman, Ward 44, Chicago, IL (Non-Partisan Aldermanic Election)"
"764","Patrick J. Levar","Democratic Party","1 of 3","15,850","81.6%","Election Results for 1991 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"765","Terry Alan Ireland","Other Parties","2 of 3","2,198","11.3%","Election Results for 1991 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"766","Matt G. Lewis","Other Parties","3 of 3","1,368","7.0%","Election Results for 1991 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"767","Helen Shiller","Democratic Party","1 of 3","6,404","48.4%","Election Results for 1991 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"768","Michael B. Quigley","Other Parties","2 of 3","6,388","48.3%","Election Results for 1991 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"769","Vincent J. Samar","Other Parties","3 of 3","442","3.3%","Election Results for 1991 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"770","Eugene C. Schulter","Democratic Party","1 of 1","10,105","100.0%","Election Results for 1991 Primary Election, Alderman, Ward 47, Chicago, IL (Non-Partisan Aldermanic Election)"
"771","Mary Ann Smith","Other Parties","1 of 2","7,387","75.6%","Election Results for 1991 Primary Election, Alderman, Ward 48, Chicago, IL (Non-Partisan Aldermanic Election)"
"772","Michael Radzilowsky","Other Parties","2 of 2","2,384","24.4%","Election Results for 1991 Primary Election, Alderman, Ward 48, Chicago, IL (Non-Partisan Aldermanic Election)"
"773","Joe Moore","Other Parties","1 of 5","4,763","46.8%","Election Results for 1991 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"774","Robert Clarke","Other Parties","2 of 5","3,944","38.7%","Election Results for 1991 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"775","James Chiakulas","Democratic Party","3 of 5","663","6.5%","Election Results for 1991 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"776","Grady A. Humphrey","Democratic Party","4 of 5","454","4.5%","Election Results for 1991 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"777","Betty Major-rose","Other Parties","5 of 5","356","3.5%","Election Results for 1991 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"778","Lawrence S. Bloom","Democratic Party","1 of 4","8,521","72.0%","Election Results for 1991 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"779","Greg Carney","Other Parties","2 of 4","1,594","13.5%","Election Results for 1991 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"780","Robert L. Anderson","Other Parties","3 of 4","1,097","9.3%","Election Results for 1991 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"781","Tyler Jones","Other Parties","4 of 4","618","5.2%","Election Results for 1991 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"782","Bernard L. Stone","Democratic Party","1 of 2","8,654","56.1%","Election Results for 1991 Primary Election, Alderman, Ward 50, Chicago, IL (Non-Partisan Aldermanic Election)"
"783","Hank Rubin","Other Parties","2 of 2","6,777","43.9%","Election Results for 1991 Primary Election, Alderman, Ward 50, Chicago, IL (Non-Partisan Aldermanic Election)"
"784","John O. Steele","Other Parties","1 of 4","10,281","62.6%","Election Results for 1991 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"785","Ronald C. Robinson","Other Parties","2 of 4","4,756","29.0%","Election Results for 1991 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"786","Cassandra Holbert","Other Parties","3 of 4","996","6.1%","Election Results for 1991 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"787","Samuel Payton","Democratic Party","4 of 4","385","2.3%","Election Results for 1991 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"788","William M. Beavers","Democratic Party","1 of 5","4,705","54.0%","Election Results for 1991 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"789","Elcosie Gresham","Other Parties","2 of 5","1,255","14.4%","Election Results for 1991 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"790","James R. Dorsey","Democratic Party","3 of 5","987","11.3%","Election Results for 1991 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"791","Johnny Acoff","Other Parties","4 of 5","921","10.6%","Election Results for 1991 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"792","William C. King","Other Parties","5 of 5","846","9.7%","Election Results for 1991 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"793","Lorraine L. Dixon","Other Parties","1 of 8","9,001","61.6%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"794","Donald L. Sharp","Other Parties","2 of 8","1,831","12.5%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"795","Melvin Alexander","Other Parties","3 of 8","935","6.4%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"796","Walter L. English","Other Parties","4 of 8","671","4.6%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"797","George C. Roby","Other Parties","5 of 8","659","4.5%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"798","David E. Neely","Other Parties","6 of 8","633","4.3%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"799","Mary E. Young","Other Parties","7 of 8","530","3.6%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"800","Joseph Mcafee","Other Parties","8 of 8","361","2.5%","Election Results for 1991 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"801","Robert Shaw","Democratic Party","1 of 11","4,290","43.4%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"802","Johnny J. O'neal","Democratic Party","2 of 11","1,647","16.7%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"803","Walter J. Stallings, Jr.","Other Parties","3 of 11","921","9.3%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"804","Richard J. Dowdell","Democratic Party","4 of 11","718","7.3%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"805","Wallace Jones, Jr.","Other Parties","5 of 11","591","6.0%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"806","Salim al Nurridin","Other Parties","6 of 11","472","4.8%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"807","Cedric Michael Holt","Other Parties","7 of 11","303","3.1%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"808","Alfred James Jimmar","Other Parties","8 of 11","292","3.0%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"809","Eugene Worden","Other Parties","9 of 11","272","2.8%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"810","Vincent Williams","Other Parties","10 of 11","222","2.2%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"811","Ernest Washington, Jr.","Democratic Party","11 of 11","159","1.6%","Election Results for 1991 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"812","Jesse D. Granato","Other Parties","1 of 2","3,870","51.6%","Election Results for 1995 General Election, Alderman, Ward 1, Chicago, IL"
"813","C. Victoria Almeida","Other Parties","2 of 2","3,636","48.4%","Election Results for 1995 General Election, Alderman, Ward 1, Chicago, IL"
"814","John J. Buchanan","Democratic Party","1 of 2","8,072","60.7%","Election Results for 1995 General Election, Alderman, Ward 10, Chicago, IL"
"815","Clem Balanoff","Democratic Party","2 of 2","5,237","39.3%","Election Results for 1995 General Election, Alderman, Ward 10, Chicago, IL"
"816","Shirley A. Coleman","Other Parties","1 of 2","5,035","66.7%","Election Results for 1995 General Election, Alderman, Ward 16, Chicago, IL"
"817","Hal Baskin","Other Parties","2 of 2","2,515","33.3%","Election Results for 1995 General Election, Alderman, Ward 16, Chicago, IL"
"818","Madeline L. Haithcock","Other Parties","1 of 2","5,736","54.0%","Election Results for 1995 General Election, Alderman, Ward 2, Chicago, IL"
